signal_id	pair	timestamp_utc	direction	entry_price	sl_price	tp_price	sl_pips	tp_pips	atr	m15_close_24h_ago	m15_close_12h_ago	m15_close_1h_ago	related_eur_usd_24h_change_pct	related_usd_jpy_24h_change_pct	related_gbp_usd_24h_change_pct	day_of_week	hour_utc	is_tokyo_session	is_london_session	is_ny_session
GBP_JPY_01651_20250910_201500	GBP_JPY	2025-09-10T20:15:00+00:00	short	199.366	199.52189	199.05421	15.59	31.18	0.103929	199.407	199.461	199.544	-0.0282	-0.0136	0.0621	2	20	0	0	1
GBP_JPY_01652_20250911_090000	GBP_JPY	2025-09-11T09:00:00+00:00	long	199.607	199.50029	199.82043	10.67	21.34	0.071143	199.611	199.388	199.379	-0.059	0.1064	-0.068	3	9	0	1	0
GBP_JPY_01653_20250911_110000	GBP_JPY	2025-09-11T11:00:00+00:00	long	199.788	199.63104	200.10193	15.7	31.39	0.104643	199.474	199.487	199.603	-0.0684	0.2257	-0.0946	3	11	0	1	0
GBP_JPY_01654_20250911_171500	GBP_JPY	2025-09-11T17:15:00+00:00	short	199.527	199.76368	199.05364	23.67	47.34	0.157786	199.675	199.422	199.775	0.0026	-0.1459	0.0509	3	17	0	0	1
GBP_JPY_01655_20250911_211500	GBP_JPY	2025-09-11T21:15:00+00:00	long	199.933	199.78911	200.22079	14.39	28.78	0.095929	199.422	199.696	199.776	0.2632	-0.1005	0.3184	3	21	0	0	1
GBP_JPY_01656_20250912_073000	GBP_JPY	2025-09-12T07:30:00+00:00	long	199.959	199.84382	200.18936	11.52	23.04	0.076786	199.395	199.686	199.885	0.2214	0.0441	0.2173	4	7	1	1	0
GBP_JPY_01657_20250912_113000	GBP_JPY	2025-09-12T11:30:00+00:00	long	200.192	200.01639	200.54321	17.56	35.12	0.117071	199.816	199.828	199.979	0.2181	0.0318	0.1421	4	11	0	1	0
GBP_JPY_01658_20250915_000000	GBP_JPY	2025-09-15T00:00:00+00:00	short	199.954	200.08964	199.68271	13.56	27.13	0.090429	199.736	200.196	200.247	-0.0315	0.2521	-0.0892	0	0	1	0	0
GBP_JPY_01659_20250915_070000	GBP_JPY	2025-09-15T07:00:00+00:00	short	199.955	200.05689	199.75121	10.19	20.38	0.067929	199.869	200.275	199.999	0.0733	-0.0651	0.0782	0	7	1	1	0
GBP_JPY_01660_20250915_100000	GBP_JPY	2025-09-15T10:00:00+00:00	long	200.226	200.0985	200.481	12.75	25.5	0.085	199.833	200.133	200.11	-0.0613	0.0095	0.1298	0	10	0	1	0
GBP_JPY_01661_20250915_134500	GBP_JPY	2025-09-15T13:45:00+00:00	long	200.553	200.35596	200.94707	19.7	39.41	0.131357	200.301	200.251	200.301	0.1619	-0.2396	0.3703	0	13	0	1	1
GBP_JPY_01662_20250915_221500	GBP_JPY	2025-09-15T22:15:00+00:00	long	200.498	200.38786	200.71829	11.01	22.03	0.073429	200.124	200.273	200.336	0.2514	-0.1335	0.351	0	22	0	0	0
GBP_JPY_01663_20250916_070000	GBP_JPY	2025-09-16T07:00:00+00:00	short	200.21	200.37104	199.88793	16.1	32.21	0.107357	199.954	200.44	200.349	0.3665	-0.2632	0.3575	1	7	1	1	0
GBP_JPY_01664_20250916_124500	GBP_JPY	2025-09-16T12:45:00+00:00	long	200.471	200.30718	200.79864	16.38	32.76	0.109214	200.301	200.339	200.303	0.5781	-0.2741	0.3649	1	12	0	1	0
GBP_JPY_01665_20250916_171500	GBP_JPY	2025-09-16T17:15:00+00:00	short	200.309	200.51321	199.90057	20.42	40.84	0.136143	200.429	200.359	200.583	0.7995	-0.6064	0.4967	1	17	0	0	1
GBP_JPY_01666_20250916_194500	GBP_JPY	2025-09-16T19:45:00+00:00	short	199.885	200.07229	199.51043	18.73	37.46	0.124857	200.357	200.166	200.091	0.9041	-0.6665	0.4346	1	19	0	0	1
GBP_JPY_01667_20250917_134500	GBP_JPY	2025-09-17T13:45:00+00:00	short	199.571	199.73364	199.24571	16.26	32.53	0.108429	200.387	199.965	199.697	0.238	-0.5318	0.1255	2	13	0	1	1
GBP_JPY_01668_20250917_164500	GBP_JPY	2025-09-17T16:45:00+00:00	long	199.935	199.76379	200.27743	17.12	34.24	0.114143	200.441	199.868	199.864	0.2191	-0.2875	0.0344	2	16	0	0	1
GBP_JPY_01669_20250917_210000	GBP_JPY	2025-09-17T21:00:00+00:00	short	199.672	199.81696	199.38207	14.5	28.99	0.096643	199.906	199.846	199.914	-0.2722	0.2563	-0.142	2	21	0	0	1
GBP_JPY_01670_20250917_213000	GBP_JPY	2025-09-17T21:30:00+00:00	long	200.021	199.82493	200.41314	19.61	39.21	0.130714	199.876	199.813	199.93	-0.2722	0.2563	-0.142	2	21	0	0	1
GBP_JPY_01671_20250918_090000	GBP_JPY	2025-09-18T09:00:00+00:00	long	200.446	200.32075	200.6965	12.52	25.05	0.0835	199.846	199.674	200.313	-0.5196	0.6212	-0.327	3	9	0	1	0
