"頁,""帳票ID"",""RTXT対象期間開始年月日"",""RTXT対象期間終了年月日"",""RTXT帳票タイトル"",""RTXT作成年月日"",""RTXT頁"",""RTXT連番"",""RTXT相当年度見出"",""RTXT相当年度"",""RTXT義務者宛名番号"",""RTXT義務者宛名名称"",""RTXT償却種類コード"",""RTXT償却種類コード名"",""RTXT資産番号"",""RTXT償却異動事由コード"",""RTXT償却異動事由コード名"",""RTXT職員番号"",""RTXT処理年月日"",""RTXT処理時刻"",""RTXT旧市区町村見出"",""RTXT旧市区町村"",""RTXT当該市区町村名"",""RTXT前相当年度"",""RTXT前義務者宛名番号"",""RTXT前償却種類CD"",""RTXT前資産番号"",""RTXT前償却一品履歴番号"",""RTXT前一品異動CD"",""RTXT前申告年度"",""RTXT前資産の名称"",""RTXT前一品資産CL"",""RTXT前数量"",""RTXT前取得年月"",""RTXT前元旦取得CL"",""RTXT前手入力CL"",""RTXT前取得価額"",""RTXT前取得価額前回"",""RTXT前増加事由CD"",""RTXT前減少事由CD"",""RTXT前減少CL"",""RTXT前特例CD1"",""RTXT前特例率分子1"",""RTXT前特例率分母1"",""RTXT前特例適用年度1"",""RTXT前特例開始年1"",""RTXT前特例終了年1"",""RTXT前特例CD2"",""RTXT前特例率分子2"",""RTXT前特例率分母2"",""RTXT前特例適用年度2"",""RTXT前特例開始年2"",""RTXT前特例終了年2"",""RTXT前税相当額"",""RTXT前不均一課税CD"",""RTXT前不均一課税コード名"",""RTXT前不均一課税開始年"",""RTXT前不均一課税終了年"",""RTXT前不均一課税減税額"",""RTXT前軽減CD1"",""RTXT前軽減率分子1"",""RTXT前軽減率分母1"",""RTXT前軽減開始年1"",""RTXT前軽減終了年1"",""RTXT前軽減CD2"",""RTXT前軽減率分子2"",""RTXT前軽減率分母2"",""RTXT前軽減開始年2"",""RTXT前軽減終了年2"",""RTXT前減免CD1"",""RTXT前減免率分子1"",""RTXT前減免率分母1"",""RTXT前減免開始年1"",""RTXT前減免終了年1"",""RTXT前減免CD2"",""RTXT前減免率分子2"",""RTXT前減免率分母2"",""RTXT前減免開始年2"",""RTXT前減免終了年2"",""RTXT前帳簿価額今回"",""RTXT前帳簿価額前回"",""RTXT前評価額今回"",""RTXT前評価額前回"",""RTXT前控除課標額帳簿1"",""RTXT前控除課標額評価1"",""RTXT前控除課標額帳簿2"",""RTXT前控除課標額評価2"",""RTXT前最低限度CL帳簿"",""RTXT前最低限度CL評価"",""RTXT前加算控除額帳簿"",""RTXT前加算控除額評価"",""RTXT前軽減税額帳簿1"",""RTXT前軽減税額評価1"",""RTXT前軽減税額帳簿2"",""RTXT前軽減税額評価2"",""RTXT前減免税額帳簿1"",""RTXT前減免税額評価1"",""RTXT前減免税額帳簿2"",""RTXT前減免税額評価2"",""RTXT前耐用年数1"",""RTXT前減価残存率1"",""RTXT前耐用開始年2"",""RTXT前耐用年数2"",""RTXT前減価残存率2"",""RTXT前耐用開始年3"",""RTXT前耐用年数3"",""RTXT前減価残存率3"",""RTXT前適用月数1"",""RTXT前増加率1"",""RTXT前適用月数2"",""RTXT前増加率2"",""RTXT前備考"",""RTXT前市区町村識別CD"",""RTXT前旧市区町村識別CD"",""RTXT前処理年月日"",""RTXT前処理時刻"",""RTXT前資産区分名"",""RTXT前増加事由コード名"",""RTXT前減少事由コード名"",""RTXT前減少区分名"",""RTXT前特例事由コード名1"",""RTXT前特例事由コード名2"",""RTXT前軽減事由コード名1"",""RTXT前軽減事由コード名2"",""RTXT前減免事由コード名1"",""RTXT前減免事由コード名2"",""RTXT後相当年度"",""RTXT後義務者宛名番号"",""RTXT後償却種類CD"",""RTXT後資産番号"",""RTXT後償却一品履歴番号"",""RTXT後一品異動CD"",""RTXT後申告年度"",""RTXT後資産の名称"",""RTXT後一品資産CL"",""RTXT後数量"",""RTXT後取得年月"",""RTXT後元旦取得CL"",""RTXT後手入力CL"",""RTXT後取得価額"",""RTXT後取得価額前回"",""RTXT後増加事由CD"",""RTXT後減少事由CD"",""RTXT後減少CL"",""RTXT後特例CD1"",""RTXT後特例率分子1"",""RTXT後特例率分母1"",""RTXT後特例適用年度1"",""RTXT後特例開始年1"",""RTXT後特例終了年1"",""RTXT後特例CD2"",""RTXT後特例率分子2"",""RTXT後特例率分母2"",""RTXT後特例適用年度2"",""RTXT後特例開始年2"",""RTXT後特例終了年2"",""RTXT後税相当額"",""RTXT後不均一課税CD"",""RTXT後不均一課税コード名"",""RTXT後不均一課税開始年"",""RTXT後不均一課税終了年"",""RTXT後不均一課税減税額"",""RTXT後軽減CD1"",""RTXT後軽減率分子1"",""RTXT後軽減率分母1"",""RTXT後軽減開始年1"",""RTXT後軽減終了年1"",""RTXT後軽減CD2"",""RTXT後軽減率分子2"",""RTXT後軽減率分母2"",""RTXT後軽減開始年2"",""RTXT後軽減終了年2"",""RTXT後減免CD1"",""RTXT後減免率分子1"",""RTXT後減免率分母1"",""RTXT後減免開始年1"",""RTXT後減免終了年1"",""RTXT後減免CD2"",""RTXT後減免率分子2"",""RTXT後減免率分母2"",""RTXT後減免開始年2"",""RTXT後減免終了年2"",""RTXT後帳簿価額今回"",""RTXT後帳簿価額前回"",""RTXT後評価額今回"",""RTXT後評価額前回"",""RTXT後控除課標額帳簿1"",""RTXT後控除課標額評価1"",""RTXT後控除課標額帳簿2"",""RTXT後控除課標額評価2"",""RTXT後最低限度CL帳簿"",""RTXT後最低限度CL評価"",""RTXT後加算控除額帳簿"",""RTXT後加算控除額評価"",""RTXT後軽減税額帳簿1"",""RTXT後軽減税額評価1"",""RTXT後軽減税額帳簿2"",""RTXT後軽減税額評価2"",""RTXT後減免税額帳簿1"",""RTXT後減免税額評価1"",""RTXT後減免税額帳簿2"",""RTXT後減免税額評価2"",""RTXT後耐用年数1"",""RTXT後減価残存率1"",""RTXT後耐用開始年2"",""RTXT後耐用年数2"",""RTXT後減価残存率2"",""RTXT後耐用開始年3"",""RTXT後耐用年数3"",""RTXT後減価残存率3"",""RTXT後適用月数1"",""RTXT後増加率1"",""RTXT後適用月数2"",""RTXT後増加率2"",""RTXT後備考"",""RTXT後市区町村識別CD"",""RTXT後旧市区町村識別CD"",""RTXT後処理年月日"",""RTXT後処理時刻"",""RTXT後資産区分名"",""RTXT後増加事由コード名"",""RTXT後減少事由コード名"",""RTXT後減少区分名"",""RTXT後特例事由コード名1"",""RTXT後特例事由コード名2"",""RTXT後軽減事由コード名1"",""RTXT後軽減事由コード名2"",""RTXT後減免事由コード名1"",""RTXT後減免事由コード名2"",""RTXT相当年度比較"",""RTXT義務者宛名番号比較"",""RTXT償却種類CD比較"",""RTXT資産番号比較"",""RTXT償却一品履歴番号比較"",""RTXT一品異動CD比較"",""RTXT申告年度比較"",""RTXT資産の名称比較"",""RTXT一品資産CL比較"",""RTXT数量比較"",""RTXT取得年月比較"",""RTXT元旦取得CL比較"",""RTXT手入力CL比較"",""RTXT取得価額比較"",""RTXT取得価額前回比較"",""RTXT増加事由CD比較"",""RTXT減少事由CD比較"",""RTXT減少CL比較"",""RTXT特例CD1比較"",""RTXT特例率分子1比較"",""RTXT特例率分母1比較"",""RTXT特例適用年度1比較"",""RTXT特例開始年1比較"",""RTXT特例終了年1比較"",""RTXT特例CD2比較"",""RTXT特例率分子2比較"",""RTXT特例率分母2比較"",""RTXT特例適用年度2比較"",""RTXT特例開始年2比較"",""RTXT特例終了年2比較"",""RTXT軽減CD1比較"",""RTXT軽減率分子1比較"",""RTXT軽減率分母1比較"",""RTXT軽減開始年1比較"",""RTXT軽減終了年1比較"",""RTXT軽減CD2比較"",""RTXT軽減率分子2比較"",""RTXT軽減率分母2比較"",""RTXT軽減開始年2比較"",""RTXT軽減終了年2比較"",""RTXT減免CD1比較"",""RTXT減免率分子1比較"",""RTXT減免率分母1比較"",""RTXT減免開始年1比較"",""RTXT減免終了年1比較"",""RTXT減免CD2比較"",""RTXT減免率分子2比較"",""RTXT減免率分母2比較"",""RTXT減免開始年2比較"",""RTXT減免終了年2比較"",""RTXT帳簿価額今回比較"",""RTXT帳簿価額前回比較"",""RTXT評価額今回比較"",""RTXT評価額前回比較"",""RTXT控除課標額帳簿1比較"",""RTXT控除課標額評価1比較"",""RTXT控除課標額帳簿2比較"",""RTXT控除課標額評価2比較"",""RTXT最低限度CL帳簿比較"",""RTXT最低限度CL評価比較"",""RTXT加算控除額帳簿比較"",""RTXT加算控除額評価比較"",""RTXT軽減税額帳簿1比較"",""RTXT軽減税額評価1比較"",""RTXT軽減税額帳簿2比較"",""RTXT軽減税額評価2比較"",""RTXT減免税額帳簿1比較"",""RTXT減免税額評価1比較"",""RTXT減免税額帳簿2比較"",""RTXT減免税額評価2比較"",""RTXT耐用年数1比較"",""RTXT減価残存率1比較"",""RTXT耐用開始年2比較"",""RTXT耐用年数2比較"",""RTXT減価残存率2比較"",""RTXT耐用開始年3比較"",""RTXT耐用年数3比較"",""RTXT減価残存率3比較"",""RTXT適用月数1比較"",""RTXT増加率1比較"",""RTXT適用月数2比較"",""RTXT増加率2比較"",""RTXT備考比較"",""RTXT市区町村識別CD比較"",""RTXT旧市区町村識別CD比較"",""RTXT処理年月日比較"",""RTXT処理時刻比較"""
"1,""TBRI0562"",""20260116"",""20260116"",""一品ＯＬ異動結果リスト"",""20260117"",""1"",""1"",""課税年度"",""R 8"",""000011065646586"","""",""6"",""工具器具及び備品"",""506000101"","""","""",""1251282"",""20260116"",""143720381"","""","""",""横浜市"",""2026"",""11065646586"",""6"",""506000101"",""10"",""4"",""R 6"",""次期国保総??合システム用クライアント端末"",""1"",""0"",""R 5. 5"","""","""",""545002"",""545002"",""4"",""4"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1882"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""134437"",""239213"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4"",""0.562"","""","""","""","""","""","""","""","""","""","""","""","""","""",""20260114"",""082452455"",""一般"",""他"",""他"",""全部"","""","""","""","""","""","""","""","""","""",""0"",""0"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"","""",""*"","""","""",""*"",""*"",""*"",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""",""*"","""",""*"",""*"""
"1,""TBRI0562"",""20260116"",""20260116"",""一品ＯＬ異動結果リスト"",""20260117"",""1"",""2"",""課税年度"",""R 8"",""000011065646586"","""",""6"",""工具器具及び備品"",""507000102"","""","""",""1251282"",""20260116"",""143726823"","""","""",""横浜市"",""2026"",""11065646586"",""6"",""507000102"",""10"",""4"",""R 7"",""次期国保総??合区分??５（クライアント端末購入"",""1"",""0"",""R 6. 3"","""","""",""78418"",""78418"",""4"",""4"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""481"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""34419"",""61244"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4"",""0.562"","""","""","""","""","""","""","""","""","""","""","""","""","""",""20260114"",""082502587"",""一般"",""他"",""他"",""全部"","""","""","""","""","""","""","""","""","""",""0"",""0"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"","""",""*"","""","""",""*"",""*"",""*"",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""",""*"","""",""*"",""*"""
"1,""TBRI0562"",""20260116"",""20260116"",""一品ＯＬ異動結果リスト"",""20260117"",""1"",""3"",""課税年度"",""R 8"",""000011065646586"","""",""6"",""工具器具及び備品"",""507000103"","""","""",""1251282"",""20260116"",""143732951"","""","""",""横浜市"",""2026"",""11065646586"",""6"",""507000103"",""10"",""4"",""R 7"",""保険者ネットワークＦＷの機器更改"",""1"",""0"",""R 6. 3"","""","""",""300943"",""300943"",""4"",""4"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""2166"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""154764"",""245268"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""5"",""0.631"","""","""","""","""","""","""","""","""","""","""","""","""","""",""20260114"",""082511903"",""一般"",""他"",""他"",""全部"","""","""","""","""","""","""","""","""","""",""0"",""0"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"","""",""*"","""","""",""*"",""*"",""*"",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""",""*"","""",""*"",""*"""
"1,""TBRI0562"",""20260116"",""20260116"",""一品ＯＬ異動結果リスト"",""20260117"",""1"",""4"",""課税年度"",""R 8"",""000911000004866"","""",""6"",""工具器具及び備品"",""1000000001"",""2"",""前年中取得"",""1251282"",""20260116"",""110417939"","""","""",""横浜市"","""","""","""",""0"",""0"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2026"",""911000004866"",""6"",""1000000001"",""10"",""2"",""R 8"",""エアコン"",""1"","""",""R 7.11"","""","""",""124590"",""0"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1465"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""104655"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""6"",""0.84"","""","""","""","""","""","""","""","""","""","""","""","""","""",""20260116"",""110417939"",""一般"",""新品"","""","""","""","""","""","""","""","""",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"","""",""*"","""","""",""*"",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""",""*"","""",""*"",""*"""
"1,""TBRI0562"",""20260116"",""20260116"",""一品ＯＬ異動結果リスト"",""20260117"",""1"",""5"",""課税年度"",""R 8"",""000911000004866"","""",""6"",""工具器具及び備品"",""1000000002"",""2"",""前年中取得"",""1251282"",""20260116"",""110432429"","""","""",""横浜市"","""","""","""",""0"",""0"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2026"",""911000004866"",""6"",""1000000002"",""10"",""2"",""R 8"",""エアコン"",""1"","""",""R 7.11"","""","""",""263610"",""0"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3100"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""221432"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""6"",""0.84"","""","""","""","""","""","""","""","""","""","""","""","""","""",""20260116"",""110432429"",""一般"",""新品"","""","""","""","""","""","""","""","""",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"",""*"","""",""*"","""","""",""*"",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""*"",""*"","""","""","""","""","""","""","""","""","""","""","""",""*"","""",""*"",""*"""
